user_id,event_type,product_id,timestamp
U0001,purchased,P0064,2024-07-16T14:40:33Z
U0001,viewed,P0096,2024-07-22T17:44:05Z
U0001,viewed,P0038,2024-07-18T03:04:07Z
U0001,add-to-cart,P0065,2024-11-12T15:15:23Z
U0001,viewed,P0012,2024-11-14T20:56:13Z
U0001,viewed,P0037,2024-11-13T18:50:43Z
U0003,viewed,P0019,2024-02-18T22:54:32Z
U0003,viewed,P0017,2024-02-20T08:51:25Z
U0003,viewed,P0010,2024-02-15T04:52:21Z
U0003,purchased,P0001,2024-02-16T21:32:57Z
U0003,viewed,P0073,2024-02-16T23:07:07Z
U0003,viewed,P0063,2024-02-26T04:44:33Z
U0003,viewed,P0034,2024-02-21T16:59:23Z
U0003,viewed,P0088,2024-02-27T16:32:25Z
U0003,add-to-cart,P0023,2024-02-26T03:24:10Z
U0003,viewed,P0018,2024-02-24T11:41:55Z
U0003,purchased,P0033,2024-03-08T21:12:32Z
U0003,viewed,P0057,2024-03-12T09:16:11Z
U0003,viewed,P0077,2024-03-08T01:19:43Z
U0003,viewed,P0034,2024-03-12T22:51:46Z
U0003,purchased,P0060,2024-03-11T13:18:19Z
U0003,add-to-cart,P0043,2024-03-31T10:12:09Z
U0003,viewed,P0050,2024-03-28T11:49:11Z
U0003,add-to-cart,P0072,2024-03-30T22:05:27Z
U0003,add-to-cart,P0038,2024-03-29T08:10:41Z
U0003,add-to-cart,P0077,2024-03-31T15:36:26Z
U0003,purchased,P0043,2024-03-30T16:18:24Z
U0003,viewed,P0041,2024-04-09T02:45:12Z
U0003,purchased,P0001,2024-04-08T04:38:42Z
U0003,add-to-cart,P0074,2024-04-03T07:01:13Z
U0003,add-to-cart,P0090,2024-04-08T21:30:08Z
U0003,viewed,P0021,2024-04-12T00:54:22Z
U0003,viewed,P0047,2024-04-15T04:07:16Z
U0003,viewed,P0034,2024-04-16T04:59:04Z
U0003,viewed,P0085,2024-04-16T13:17:24Z
U0003,viewed,P0030,2024-04-13T12:02:58Z
U0004,viewed,P0093,2024-09-26T07:21:46Z
U0004,viewed,P0061,2024-09-22T04:49:43Z
U0004,viewed,P0051,2024-09-25T15:04:30Z
U0004,add-to-cart,P0041,2024-09-27T01:11:51Z
U0004,purchased,P0065,2024-09-22T19:37:07Z
U0004,viewed,P0052,2024-09-26T02:43:21Z
U0004,purchased,P0068,2024-09-29T14:46:50Z
U0004,viewed,P0046,2024-09-29T23:09:59Z
U0004,viewed,P0045,2024-10-01T11:57:56Z
U0004,purchased,P0011,2024-10-03T10:59:49Z
U0004,viewed,P0043,2024-10-11T22:17:06Z
U0004,add-to-cart,P0054,2024-10-08T11:32:22Z
U0004,viewed,P0097,2024-10-09T07:17:24Z
U0004,viewed,P0042,2024-10-10T17:03:18Z
U0004,viewed,P0098,2024-10-15T16:57:35Z
U0004,viewed,P0099,2024-10-16T03:11:21Z
U0004,viewed,P0035,2024-10-13T11:03:17Z
U0004,viewed,P0098,2024-11-18T17:36:59Z
U0004,viewed,P0006,2024-11-18T18:19:47Z
U0004,viewed,P0047,2024-11-17T09:14:54Z
U0004,viewed,P0049,2024-11-19T13:25:02Z
U0004,viewed,P0100,2024-11-22T04:48:59Z
U0004,viewed,P0093,2024-11-21T18:08:13Z
U0005,add-to-cart,P0085,2024-11-09T13:20:36Z
U0005,add-to-cart,P0047,2024-11-07T07:33:23Z
U0005,viewed,P0013,2024-11-12T05:07:41Z
U0005,viewed,P0021,2024-11-11T15:56:00Z
U0005,viewed,P0013,2024-11-10T04:41:40Z
U0005,viewed,P0044,2024-11-09T07:31:42Z
U0005,viewed,P0085,2024-12-25T18:27:57Z
U0005,add-to-cart,P0083,2024-12-30T00:14:07Z
U0005,viewed,P0026,2024-12-30T15:07:49Z
U0005,viewed,P0076,2024-12-29T04:01:55Z
U0006,viewed,P0010,2024-12-11T16:31:33Z
U0006,add-to-cart,P0004,2024-12-08T11:58:30Z
U0006,viewed,P0043,2024-12-11T11:59:43Z
U0006,viewed,P0049,2024-12-10T19:43:51Z
U0006,viewed,P0092,2024-12-12T12:52:25Z
U0006,add-to-cart,P0002,2024-12-29T15:51:43Z
U0006,purchased,P0013,2025-01-02T05:48:25Z
U0006,add-to-cart,P0032,2025-01-03T10:54:48Z
U0006,viewed,P0021,2024-12-29T16:06:01Z
U0006,viewed,P0072,2025-01-01T09:08:39Z
U0006,purchased,P0086,2025-01-04T07:11:05Z
U0007,add-to-cart,P0058,2024-02-26T04:38:13Z
U0007,viewed,P0082,2024-02-26T01:31:28Z
U0007,purchased,P0031,2024-02-28T01:42:39Z
U0007,add-to-cart,P0055,2024-02-26T18:18:06Z
U0007,viewed,P0024,2024-02-23T07:07:22Z
U0007,viewed,P0040,2024-03-14T06:01:22Z
U0007,add-to-cart,P0015,2024-03-11T00:56:23Z
U0007,viewed,P0088,2024-03-08T07:21:05Z
U0007,add-to-cart,P0027,2024-03-12T22:25:02Z
U0007,viewed,P0098,2024-03-08T00:35:06Z
U0007,viewed,P0072,2024-03-09T05:41:09Z
U0007,viewed,P0050,2024-04-21T05:17:20Z
U0007,add-to-cart,P0068,2024-04-19T19:28:10Z
U0007,purchased,P0073,2024-04-22T03:48:09Z
U0007,viewed,P0085,2024-04-25T04:41:46Z
U0007,viewed,P0013,2024-04-22T14:15:15Z
U0007,viewed,P0053,2024-04-19T11:12:33Z
U0008,add-to-cart,P0040,2024-05-03T17:15:27Z
U0008,purchased,P0029,2024-05-03T08:32:48Z
U0008,purchased,P0087,2024-05-03T04:13:09Z
U0008,add-to-cart,P0085,2024-05-04T13:59:44Z
U0008,purchased,P0072,2024-05-05T16:39:04Z
U0008,viewed,P0099,2024-05-11T02:09:51Z
U0008,viewed,P0001,2024-05-09T23:12:06Z
U0008,add-to-cart,P0033,2024-05-13T01:08:40Z
U0008,viewed,P0008,2024-05-11T18:06:45Z
U0008,viewed,P0076,2024-05-12T04:05:16Z
U0008,viewed,P0057,2024-05-07T00:45:05Z
U0008,purchased,P0099,2024-06-06T17:46:03Z
U0008,viewed,P0023,2024-06-04T09:54:44Z
U0008,purchased,P0071,2024-06-09T13:12:13Z
U0008,add-to-cart,P0003,2024-06-09T01:45:11Z
U0008,purchased,P0004,2024-06-21T06:17:36Z
